book_author,book_name,book_price,book_type
Pavitra Kumar,Bhujia Barons: The Untold Story of How Haldiram Built a 5000 Crore Empire,"248,193,0","Paperback,Kindle Edition,Audible Audiobook"
Nadia Hashimi,The Pearl that Broke Its Shell: A Novel,"315,236","Paperback,Kindle Edition,Hardcover"
Josy Joseph,A Feast of Vultures: The Hidden Business of Democracy in India,"452,246,0","Hardcover,Kindle Edition,Audible Audiobook"
Deshpande Shashi,That Long Silence,"208,135","Paperback,Kindle Edition,Hardcover"
Agha Shahid Ali,The Country Without A Post Office,"195,114,6,737","Paperback,Kindle Edition,Hardcover"
Ismat Chughtai,Lifting the Veil,284,Paperback
Donna Tartt,The Goldfinch,"420,299","Paperback,Kindle Edition,Hardcover"
Jean-Paul Sartre,Nausea (Penguin Modern Classics),"300,250","Paperback,Kindle Edition,Hardcover"
Kiran Desai,The Inheritance of Loss,"269,177,0","Paperback,Kindle Edition,Audible Audiobook"
Homer,The Iliad (Penguin Classics),"249,50,0","Paperback,Kindle Edition,Audible Audiobook"
"Milan Kundera,Michael Henry Heim",The Unbearable Lightness of Being,"279,0","Paperback,Kindle Edition,Audible Audiobook"
Ahmed Ali,Twilight in Delhi: A Novel,"235,0","Paperback,Kindle Edition,Hardcover"
Gurcharan Das,India Unbound: from Independence to the Global Information age,"326,177","Paperback,Kindle Edition,Hardcover"
Basharat Peer,Curfewed Night,"276,169","Paperback,Kindle Edition"
Raja Rao,Kanthapura,"220,145","Paperback,Kindle Edition,Hardcover"
Jerry Pinto,Em and the Big Hoom,"330,233,0","Paperback,Kindle Edition,Audible Audiobook"
Perumal Murugan,One Part Woman,"233,145,0","Paperback,Kindle Edition,Audible Audiobook"
Rishi Kapoor,Khullam Khulla: Rishi Kapoor Uncensored,"394,284,0","Hardcover,Kindle Edition,Audible Audiobook"
Ramachandra Guha,Gandhi Before India,"376,149","Paperback,Kindle Edition,Hardcover"
Toni Morrison,Beloved,"325,270,0","Paperback,Kindle Edition,Audible Audiobook"
Albert Camus,The Plague (Penguin Essentials),"395,72,0","Mass Market Paperback,Kindle Edition,Audible Audiobook"
Jorge Luis Borges,Fictions (Penguin Classics),"450,14,264","Paperback,Hardcover,Audio Cassette"
Amitav Ghosh,Sea of Poppies,"371,129","Paperback,Kindle Edition,Hardcover"
"John Tenniel,Lewis Carroll",Alice's Adventures in Wonderland and Through the Looking Glass (Penguin Classics),"212,49,0","Paperback,Kindle Edition,Audible Audiobook"
Ernest Hemingway,A Farewell To Arms,"314,161","Paperback,Kindle Edition,Hardcover"
Margaret Mitchell,Gone with the Wind,"294,49,0","Paperback,Kindle Edition,Audible Audiobook"
Taslima Nasrin,Lajja,"260,218","Paperback,Kindle Edition"
John Keay,India: A History,"600,250,12,267","Paperback,Kindle Edition,Hardcover"
Homer,The Odyssey (Penguin Classics),245,Paperback
Katherine Frank,Indira: The Life of Indira Nehru Gandhi,"500,225,2,999","Paperback,Kindle Edition,Hardcover"
Anita Desai,Clear Light of the Day,"296,199","Paperback,Kindle Edition,Hardcover"
Jonathan Swift,Gulliver's Travels (Penguin Classics),"225,0,0","Paperback,Kindle Edition,Audible Audiobook"
Anthony Burgess,Modern Classics a Clockwork Orange (Penguin Modern Classics),"300,245,0","Paperback,Kindle Edition,Audible Audiobook"
Greg Mortenson,Three Cups Of Tea,"400,250","Paperback,Kindle Edition,Hardcover"
Ramachandra Guha,Makers of Modern India,"462,274","Paperback,Kindle Edition,Hardcover"
Charlotte Bronte,Jane Eyre (Penguin Classics),"250,42,0","Paperback,Kindle Edition,Audible Audiobook"
William Dalrymple,Return of a King: The Battle for Afghanistan,"411,279,0","Paperback,Kindle Edition,Audible Audiobook"
Pratibha Ray,Yajnaseni: The Story of Draupadi,"315,0,0","Paperback,Kindle Edition,Audible Audiobook"
Sue Townsend,The Secret Diary of Adrian Mole Aged 13 3/4 30th Anniversary Ed: 30th Anniversary Edition: Adrian Mole Book 1,"291,151,0","Paperback,Kindle Edition,Audible Audiobook"
M S Ashokan,Karmayogi: A Biography of E. Sreedharan,"209,79","Paperback,Kindle Edition"
Saadat Hasan Manto,Mottled Dawn,213,Paperback
Barack Obama,The Audacity of Hope: Thoughts on Reclaiming the American Dream,"409,329,0","Paperback,Kindle Edition,Audible Audiobook"
Suketu Mehta,Maximum City: Bombay Lost & Found,"329,242,2,000","Paperback,Kindle Edition,Hardcover"
Keigo Higashino,Malice,"357,175,0","Paperback,Kindle Edition,Audible Audiobook"
Arundhati Roy,Broken Republic,"245,114","Paperback,Kindle Edition"
Ta-Nehisi Coates,Between the World and Me: Notes on the First 150 Years in America,"376,340,0","Hardcover,Kindle Edition,Audible Audiobook"
Khushwant Singh,Delhi: A Novel,"248,183,641","Paperback,Kindle Edition,Hardcover"
Mary Kom,Unbreakable: An Autobiography,"199,134,0","Paperback,Kindle Edition,Audible Audiobook"
Cormac McCarthy,Blood Meridian (Picador Classic),"397,297,0","Paperback,Kindle Edition,Audible Audiobook"
Vikram Seth,A Suitable Boy: 20th Anniversary Edition,"947,0,0","Paperback,Kindle Edition,Audible Audiobook"
Mark Twain,The Adventures of Huckleberry Finn (Penguin Classics),"216,42,0","Paperback,Kindle Edition,Audible Audiobook"
E.M. Forster,A Passage to India (Penguin Classics),"261,49,0","Paperback,Kindle Edition,Audible Audiobook"
Zadie Smith,White Teeth (Penguin Essentials),"0,12,970","Paperback,Audible Audiobook,Hardcover"
B.R. Ambedkar,Riddles in Hinduism : The Annotated Critical Selection,394,Paperback
Seema Singh,Mythbreaker: Kiran Mazumdar-Shaw and the Story of Indian Biotech,"492,227","Hardcover,Kindle Edition"
Ernest Hemingway,For Whom The Bell Tolls,"261,247","Paperback,Kindle Edition,Hardcover"
Keigo Higashino,Salvation of a Saint,"298,189,0","Paperback,Kindle Edition,Audible Audiobook"
Arun Shourie,"Self-Deception: India's China Policies Origins, Premises, Lessons","479,322","Paperback,Kindle Edition"
Mohammed Hanif,A Case of Exploding Mangoes,239,Paperback
Alexandre Dumas,The Three Musketeers,350,Paperback
Fyodor Dostoyevsky,The Idiot (Penguin Classics),300,Paperback
"H.K. Browne,Charles Dickens",David Copperfield (Penguin Classics),256,Paperback
Ralph Ellison,Invisible Man (Penguin Modern Classics),"418,247,0","Paperback,Kindle Edition,Audible Audiobook"
Arundhati Roy,Listening to Grasshoppers: Field Notes on Democracy,"195,185","Paperback,Kindle Edition,Hardcover"
Ruta Sepetys,Salt to the Sea,"376,288,0","Paperback,Kindle Edition,Audible Audiobook"
Kamala Markandaya,Nectar in a Sieve,"238,177","Paperback,Kindle Edition,Hardcover"
Miguel Cervantes,Don Quixote (Penguin Classics),"368,49,0","Paperback,Kindle Edition,Audible Audiobook"
Ramachandra Guha,Patriots and Partisans,"371,332","Paperback,Kindle Edition,Hardcover"
William Faulkner,The Sound And The Fury (Vintage Classics),"371,250,0","Paperback,Kindle Edition,Audible Audiobook"
Saradindu Bandyopadhyay,Menagerie and other Byomkesh Bakshi Myster,"305,243","Paperback,Kindle Edition"
Jeet Thayil,Narcopolis,"349,244,0","Paperback,Kindle Edition,Audible Audiobook"
Karan Johar,An Unsuitable Boy,"299,99,0","Hardcover,Kindle Edition,Audible Audiobook"
Romesh Gunesekera,Reef,"233,148","Paperback,Kindle Edition,Hardcover"
Orhan Pamuk,The Museum of Innocence,"428,349,0","Paperback,Kindle Edition,Audible Audiobook"
Kathryn Stockett,The Help,"276,189,0","Paperback,Kindle Edition,Audible Audiobook"
Vinod Mehta,Meena Kumari: The Classic Biography,"327,258","Paperback,Kindle Edition"
Sharad Pawar,On My Terms: From the Grassroots to the Corridors of Power,"469,426","Hardcover,Kindle Edition,Paperback"
Umberto Eco,The Name Of The Rose,"551,324,0","Paperback,Kindle Edition,Audible Audiobook"
John Steinbeck,Of Mice and Men (Penguin Modern Classics),"299,75","Paperback,Kindle Edition,Hardcover"
Sunil Khilnani,The Idea of India,"289,237","Paperback,Kindle Edition,Hardcover"
Jairam Ramesh,To the Brink and Back: India’s 1991 Story,"402,0,0","Hardcover,Kindle Edition,Audible Audiobook"
Romila Thapar,The Past as Present: Forging Contemporary Identities Through History,"525,0,0","Hardcover,Kindle Edition,Audible Audiobook"
Kiran Nagarkar,Cuckold,"423,227","Paperback,Kindle Edition"
Jung Chang,Wild Swans: Three Daughters of China,"406,255,0","Paperback,Kindle Edition,Audible Audiobook"
Geoffrey Chaucer,The Canterbury Tales (Penguin Classics),"275,38,0","Paperback,Kindle Edition,Audible Audiobook"
Sachin Pinto Kundalkar,Cobalt Blue,"399,254","Hardcover,Kindle Edition"
Shyam Selvadurai,Cinnamon Gardens,"355,316,2,314","Paperback,Kindle Edition,Hardcover"
Narendra Singh Sarila,The Shadow of the Great Game: The Untold Story of India's Partition,488,"Paperback,Hardcover"
Rabindranath Tagore,Fireflies,95,Paperback
Katherine Boo,"Behind the Beautiful Forevers: Life, Death and Hope in a Mumbai Undercity","276,236,0","Paperback,Kindle Edition,Audible Audiobook"
Sir V. S. Naipaul,A Bend in the River,"423,129,0","Paperback,Kindle Edition,Audible Audiobook"
Anita Desai,Fasting Feasting,"260,211","Paperback,Kindle Edition,Hardcover"
Ian McEwan,Atonement,"443,270,0","Paperback,Kindle Edition,Audible Audiobook"
Liane Moriarty,The Husband's Secret: The multi-million copy bestseller that launched the author of HBO’s Big Little Lies,"323,250,0","Paperback,Kindle Edition,Audible Audiobook"
Orhan Pamuk,My Name Is Red,"215,0","Paperback,Kindle Edition,Audible Audiobook"
Cyrus Mistry,Chronicle of a Corpse Bearer,"255,0,0","Paperback,Kindle Edition,Audible Audiobook"
Benazir Bhutto,Daughter of the East: An Autobiography,"393,263","Paperback,Kindle Edition,Hardcover"
Vaasanthi,Amma: Jayalalithaa's Journey From Movie Star To Political Queen,"275,156","Paperback,Kindle Edition"
Nikolay Gogol,Dead Souls (Penguin Classics),"399,280","Paperback,Kindle Edition"
Graeme Simsion,The Rosie Effect,"304,198,0","Paperback,Kindle Edition,Audible Audiobook"
Javier Moro,The Red Sari: A Dramatised Biography of Sonia Gandhi,267,Paperback
Saina Nehwal,Playing to Win: Saina Nehwal,"183,164,0","Paperback,Kindle Edition,Audible Audiobook"
K. Natwar Singh,One Life is not Enough: An Autobiography,"374,0,0","Hardcover,Kindle Edition,Audible Audiobook"
Husain Haqqani,Pakistan: Between Mosque and Military,"699,320","Hardcover,Kindle Edition,Paperback"
Hermann Hesse,The Glass Bead Game (Vintage Classics),"327,250,0","Paperback,Kindle Edition,Audible Audiobook"
Fyodor Dostoyevsky,Notes from Underground and the Double (Penguin Classics),"246,233","Paperback,Kindle Edition"
Boris Pasternak,Doctor Zhivago,"335,197,0","Paperback,Kindle Edition,Audible Audiobook"
Arunava Sinha,The Greatest Bengali Stories Ever Told,"458,0,0","Hardcover,Kindle Edition,Audible Audiobook"
Bapsi Sidhwa,Ice Candy Man,"236,137,0","Paperback,Kindle Edition,Audible Audiobook"
V S Khandekar,Yayati: A Classic Tale of Lust (Library of South Asian Literature),"377,289","Paperback,Kindle Edition"
Marjane Satrapi,Embroideries,"405,3,092","Paperback,Hardcover"
Sanjaya Baru,1991: How P. V. Narasimha Rao Made History,"364,0,0","Hardcover,Kindle Edition,Audible Audiobook"
Rabindranath Tagore,"Best of Rabindranath Tagore box set: Gitanjali, My boyhood days, The Post Office, The Gardner Mashi and Other Stories","215,0","Paperback,Kindle Edition"
Nadia Hashimi,When the Moon is Low,"399,321","Paperback,Kindle Edition,Hardcover"
Vikram Chandra,Sacred Games,"452,215","Paperback,Kindle Edition,Hardcover"
Anil Rai Gupta,Havells: The Untold Story of Qimat Rai Gupta,"599,290,539","Hardcover,Kindle Edition,Unbound"
Nikos Kazantzakis,Zorba the Greek,"0,295","Paperback,Audible Audiobook,Hardcover"
"Rakeysh Omprakash Mehra,Milkha Singh",The Race of My Life: An Autobiography,"232,0,0","Paperback,Kindle Edition,Audible Audiobook"
Mary Shelley,Frankenstein: Collins Classics,"193,38,0","Paperback,Kindle Edition,Audible Audiobook"
Volga,The Liberation of Sita,"190,79","Paperback,Kindle Edition"
Emraan Hashmi,The Kiss of Life,"399,99,0","Paperback,Kindle Edition,Audible Audiobook"
Charles Dickens,A Tale of Two Cities (Penguin Classics),"196,38,0","Paperback,Kindle Edition,Audible Audiobook"
Amartya Sen,Identity and Violence: The Illusion of Destiny,"350,250","Paperback,Kindle Edition,Hardcover"
Ronnie Screwvala,Dream with Your Eyes Open: An Entrepreneurial Journey,"338,0,244","Hardcover,Kindle Edition,Paperback"
Mohsin Hamid,Moth Smoke,"310,4,004","Paperback,Hardcover,Audio CD"
Shyam Selvadurai,Funny Boy,"233,221,0","Paperback,Kindle Edition,Audible Audiobook"
Patrick Süskind,Perfume: The Story of a Murderer (Penguin Essentials),"299,215,0","Paperback,Kindle Edition,Audible Audiobook"
Daniel Defoe,Robinson Crusoe (Collins Classics),"195,47,0","Paperback,Kindle Edition,Audible Audiobook"
Jonathan Franzen,The Corrections,"574,236,1,354","Paperback,Kindle Edition,Hardcover"
Mohsin Hamid,The Reluctant Fundamentalist,"214,0","Paperback,Audible Audiobook,Hardcover"
Romila Thapar,The Public Intellectual in India,"420,393,0","Hardcover,Kindle Edition,Audible Audiobook"
Arthur Conan Sir Doyle,The Complete Sherlock Holmes: 2 Boxes sets,"425,38,2,174","Mass Market Paperback,Kindle Edition,Hardcover"
Munsi Premchand,Munshi Premchand's Gaban a Timeless Classic,"187,75","Paperback,Kindle Edition"
Rahul Pandita,Hello Bastar,"0,0","Kindle Edition,Audible Audiobook,MP3 CD"
Preface by Shanta Gokhale,Baluta,"303,287","Paperback,Kindle Edition"
Pranab Mukherjee,The Dramatic Decade: The Indira Gandhi Years,"341,0,0","Hardcover,Kindle Edition,Audible Audiobook"
Tamal Bandyopadhyay,Bandhan: The Making of a Bank,"355,242,0","Paperback,Kindle Edition,Audible Audiobook"
Mohsin Hamid,How to Get Filthy Rich in Rising Asia,"310,237,0","Paperback,Kindle Edition,Audible Audiobook"
Rajmohan Gandhi,Understanding The Muslim Mind,"335,317","Paperback,Kindle Edition"
"N.S. Inamdar,Vikrant Pande",Shahenshah: The Life of Aurangzeb,"514,322","Paperback,Kindle Edition"
Abraham Verghese,Cutting for Stone,375,"Paperback,Hardcover,Audio CD"
T. S. Translated by Nair  Anita Pillai,Chemmeen: The Enduring Classic,"273,196","Paperback,Kindle Edition,Hardcover"
Durrani Tehmina,Blasphemy,"288,177","Paperback,Kindle Edition,Hardcover"
Frances Hodgson Burnett,The Secret Garden (Vintage Classics),"277,49,0","Paperback,Kindle Edition,Audible Audiobook"
Rao Maithili,Smita Patil: A Brief Incandescence,"344,252","Paperback,Kindle Edition"
Nasreen Munni Kabir,In the Company of a Poet: Gulzar in Conversation with Nasreen Munni Kabir,"395,375,2,554","Hardcover,Kindle Edition,Paperback"
Kishalay Bhattacharjee,Blood on My Hands: Confessions of Staged Encounters,"242,167","Paperback,Kindle Edition"
Elena Ferrante,"The Story of the Lost Child: A Novel (Neapolitan Novels, 4): 04 (Neapolitan Quartet)","362,0","Paperback,Kindle Edition,Audible Audiobook"
Bertil Falk,Feroze Gandhi: The Forgotten Gandhi,"578,549","Hardcover,Kindle Edition"
Farid Attar,The Conference of the Birds (Penguin Classics),"386,65","Paperback,Kindle Edition,Library Binding"
Sanjay Sharma,Pullela Gopi Chand: The World Beneath His Feat,"407,379,0","Hardcover,Kindle Edition,Audible Audiobook"
Ranjit Desai,Raja Ravi Varma: A Novel,"314,188","Paperback,Kindle Edition"
K.R. Meera,Hangwoman: Everyone Loves A Good Hanging,"350,314,0","Paperback,Kindle Edition,Audible Audiobook"
Ben Okri,The Famished Road: Booker Prize Winner 1991 (The Famished Road Trilogy),"452,300,0","Paperback,Kindle Edition,Audible Audiobook"
Anne Frank,The Diary of a Young Girl: 25 (General Press),"207,19,0","Paperback,Kindle Edition,Audible Audiobook"
K.R. Meera,Yellow is the Colour of Longing,"240,228,0","Paperback,Kindle Edition,Audible Audiobook"
C. Raja Mohan,Modi's World: Expanding India's Sphere of Influence,"484,322","Hardcover,Kindle Edition"
S. Hussain Zaidi,Black Friday: The True Story of the Bombay Bomb Blasts,"320,193,0","Paperback,Kindle Edition,Audible Audiobook"
Aruna Chakravarti,Daughters of Jorasanko,"288,252","Paperback,Kindle Edition"
Vikram Chandra,Love And Longing In Bombay,"293,177,2,000","Paperback,Kindle Edition,Hardcover"
Umberto Eco,Foucault's Pendulum,"528,293","Paperback,Kindle Edition,Hardcover"
Annie Zaidi,"Unbound: 2,000 Years of Indian Women's Writing",239,Hardcover
Laura Esquivel,Like Water For Chocolate: No.1 international bestseller,"399,250,2,088","Paperback,Kindle Edition,Hardcover"
N.S. Inamdar,Rau: The Great Love Story of Bajirao Mastani,"306,265","Paperback,Kindle Edition"
Akhil Sharma,An Obedient Father,"275,261,2,391","Paperback,Kindle Edition,Hardcover"
Fyodor Dostoevsky,The Brothers Karamazov (Bantam Classics),"374,49,0","Mass Market Paperback,Kindle Edition,Audible Audiobook"
Rajmohan Gandhi,Punjab: A History from Aurangzeb to Mountbatten,"390,0","Paperback,Kindle Edition,Hardcover"
Salman Rushdie,The Moor's Last Sigh,"420,275,1,999","Paperback,Kindle Edition,Hardcover"
Colleen McCullough,The Thorn Birds (Virago Modern Classics),"472,0,4,822","Paperback,Kindle Edition,Hardcover"
Romila Thapar,On Nationalism,"283,0,370","Hardcover,Kindle Edition,Paperback"
Rabindranath Tagore,Rabindranath Tagore Omnibus - Vol. 1,"383,51","Paperback,Kindle Edition"
Orhan Pamuk,Snow,"406,279,0","Paperback,Kindle Edition,Audible Audiobook"
Akshay Manwani,Sahir Ludhianvi: The People's Poet,"397,279","Paperback,Kindle Edition"
Vibhuti Narain Rai,Hashimpura: 22 May,"220,251","Paperback,Kindle Edition"
Jagmohan S. Bhanver,Pichai: The Future of Google,"199,105,0","Paperback,Kindle Edition,Audible Audiobook"
Anand Kumar,Super 30: Changing the World 30 Students at a Time,"171,96,0","Paperback,Kindle Edition,Audible Audiobook"
Lisa See,Snow Flower and the Secret Fan,"303,223,0","Paperback,Kindle Edition,Audible Audiobook"
Leela Naidu,Leela: A Patchwork Life,"250,237","Paperback,Kindle Edition"
Rauf Ahmed,Shammi Kapoor - The Game Changer,"417,0","Hardcover,Kindle Edition"
J. R. R. Tolkien,The Lord of the Rings,"619,458,2,177","Paperback,Kindle Edition,Hardcover"
Manu Joseph,Serious Men,"284,188,349","Paperback,Kindle Edition,Hardcover"
Marjane Satrapi,Chicken With Plums,"773,857","Hardcover,Paperback"
B Reuben,Pran: A Biography,577,Paperback
W. G. Sebald,Austerlitz (Penguin Essentials),"442,276","Paperback,Kindle Edition,Hardcover"
Tahmima Anam,A Golden Age,"326,309,2,152","Paperback,Kindle Edition,Hardcover"
Digvijay Singh Deo,My Olympic Journey: 50 of India's Leading Sportspersons on the Biggest Test of Their Career,"244,209","Paperback,Kindle Edition"
Sathya Saran,Ten Years with Guru Dutt: Abrar Alvi's Journey,224,"Paperback,Hardcover"
Duvvuri Subbarao,Who Moved My Interest Rate?: Leading the Reserve Bank of India Through Five Turbulent Years,"129,327","Hardcover,Kindle Edition,Paperback"
Graham Greene,The Quiet American,"354,280,0","Paperback,Kindle Edition,Audible Audiobook"
Sudeep Chakravarti,Red Sun: Travels In Naxalite Country,"412,314,0","Paperback,Kindle Edition,Audible Audiobook"
Samuel Beckett,Waiting for Godot: A Tragicomedy in Two Acts (Faber Drama),"646,207,3,089","Paperback,Kindle Edition,Hardcover"
Edited by JNUTA,What the Nation Really Needs to Know: The JNU Nationalism Lectures,"299,279","Paperback,Kindle Edition"
Sarnath Banerjee,All Quiet in Vikaspuri,610,Hardcover
Jane Austen,Mansfield Park,"140,49","Paperback,Kindle Edition"
Jane Austen,Pride and Prejudice (Collins Classics),"192,38,0","Paperback,Kindle Edition,Audible Audiobook"
Sankarshan Thakur,The Brothers Bihari,"392,322","Paperback,Kindle Edition"
Padma Lakshmi,"Love, Loss, and What We Ate : A Memoir","412,318,630","Hardcover,Kindle Edition,Paperback"
Orhan Pamuk,The White Castle: A Novel,"316,90,0","Paperback,Kindle Edition,Audible Audiobook"
Manju Kapur,Custody,"326,228,450","Paperback,Kindle Edition,Hardcover"
U. R. Ananthamurthy,Hindutva or Hind Swaraj,"325,182,219","Hardcover,Kindle Edition,Paperback"
Shahnaz Bashir,The Half Mother: A Novel,"225,159","Paperback,Kindle Edition"
Aravinda Anatharaman,Sunita Williams: A Star in Space,"164,125,0","Paperback,Kindle Edition,Audible Audiobook"
Rajmohan Gandhi,Understanding the Founding Fathers: An Enquiry into the Indian Republic's Beginnings,"234,0","Hardcover,Kindle Edition,Paperback"
Subharanshu Choudhary,Let's Call Him Vasu: With the Maoists in Chhattisgarh,"328,289","Paperback,Kindle Edition"
Kristin Hannah,Winter Garden,"353,295,0","Paperback,Kindle Edition,Audible Audiobook"
